,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),toDrop
7843,181,414,1246,1048,1060,983,125,2477,119,172,25,0
7844,194,398,1187,1040,1056,976,132,2606,117,173,27,0
7845,214,451,1363,1139,1131,1097,135,2872,147,187,29,0
7846,204,503,1425,1170,1162,1131,141,2908,157,182,32,0
7847,228,640,1722,1328,1283,1294,130,3030,211,203,41,0
7848,270,843,2051,1490,1414,1433,104,3116,274,247,61,0
7849,285,954,2179,1570,1486,1557,86,3344,308,298,68,0
7850,282,984,2214,1533,1523,1532,73,3771,292,368,68,0
7851,235,586,1799,1149,1283,1148,63,3795,150,394,37,0
7852,208,360,1527,863,1109,960,54,3922,71,435,21,0
7853,161,231,1377,782,1055,940,51,4056,54,456,14,0
7854,146,200,1317,756,1038,921,42,4120,48,494,13,0
7855,123,153,1228,698,996,894,41,4150,38,501,11,0
7856,109,135,1201,680,995,904,41,4263,35,515,10,0
7857,-200,-200,1158,670,1000,917,37,4621,33,575,9,1
7858,115,196,1204,688,1042,935,25,4807,36,648,8,0
7859,114,208,1216,701,1042,945,18,4878,38,689,9,0
7860,122,241,1198,724,1024,944,20,4661,42,649,11,0
7861,149,417,1381,886,1147,1056,22,4730,77,653,16,0
7862,187,896,1873,1298,1496,1441,31,4938,200,640,37,0
7863,198,966,2112,1353,1541,1492,37,4967,221,617,48,0
7864,196,878,2038,1215,1491,1343,44,4979,172,588,41,0
7865,218,985,2118,1334,1533,1434,58,5020,214,541,45,0
7866,227,1017,2110,1292,1507,1379,73,5226,198,508,45,0
7867,181,683,1965,1264,1451,1408,95,5589,188,472,37,0
7868,179,660,1888,1264,1432,1476,118,6118,188,444,42,0
7869,151,492,1774,1202,1408,1411,127,6648,167,455,33,0
7870,162,497,1626,1129,1377,1392,135,6898,144,448,32,0
7871,165,562,1761,1190,1454,1434,123,6967,163,489,36,0
7872,173,539,1533,1128,1268,1255,108,5201,144,403,35,0
7873,188,502,1531,1211,1259,1243,94,4324,170,367,41,0
7874,186,452,1477,1143,1261,1208,83,4318,148,395,40,0
7875,172,357,1332,971,1133,1059,78,4389,98,413,33,0
7876,150,289,1210,818,1054,966,73,4505,61,438,30,0
7877,137,221,1167,783,1055,969,67,4688,54,476,26,0
7878,133,204,1133,747,1059,964,66,5007,47,512,26,0
7879,122,183,1109,769,1063,993,64,5074,51,526,26,0
7880,130,222,1218,854,1135,1065,53,5177,69,578,29,0
7881,-200,-200,1222,869,1126,1075,34,5281,73,667,29,1
7882,121,210,1149,753,1058,986,33,5215,48,668,25,0
7883,115,185,1090,688,1040,920,37,5059,36,629,20,0
7884,125,257,1114,737,1069,946,26,5034,45,675,22,0
7885,136,297,1089,771,1042,941,35,4857,52,609,24,0
7886,174,573,1446,1151,1322,1286,27,4787,151,634,40,0
7887,224,883,1930,1485,1549,1638,28,4859,273,642,67,0
7888,230,824,1809,1285,1416,1390,58,4942,196,531,56,0
7889,205,693,1769,1143,1337,1236,97,4832,148,401,43,0
7890,204,714,1696,1132,1281,1206,127,4398,145,300,40,0
7891,139,388,1086,981,1037,1000,137,3221,101,207,26,0
7892,133,337,1048,983,1028,979,137,3114,101,199,22,0
7893,127,326,990,913,984,930,141,2884,83,181,19,0
7894,124,329,1027,940,1010,960,145,2956,90,180,18,0
7895,158,465,1359,1096,1113,1092,132,3074,134,204,31,0
7896,171,612,1618,1284,1253,1285,105,3194,195,251,48,0
7897,193,759,1869,1499,1400,1527,89,3597,278,314,58,0
7898,195,771,2033,1584,1470,1641,82,3953,314,362,59,0
7899,212,655,1756,1168,1281,1195,67,3906,156,396,41,0
7900,193,332,1446,855,1084,939,58,3904,70,420,18,0
7901,167,287,1423,892,1097,979,49,3999,78,459,17,0
7902,156,242,1278,791,1032,915,45,4079,56,479,17,0
7903,153,242,1265,812,1046,940,39,4226,60,516,15,0
7904,128,192,1107,707,975,902,34,4323,39,547,11,0
7905,-200,-200,1014,642,932,871,33,4379,28,561,9,1
7906,96,134,1011,623,926,873,20,4337,26,608,-2000,1
7907,105,142,1006,645,932,882,12,4327,29,637,3,0
7908,130,194,1010,640,937,870,21,4368,28,603,4,0
7909,134,216,1067,724,996,938,13,4322,42,631,6,0
7910,275,728,1630,1202,1382,1352,13,4410,167,648,30,0
7911,309,975,2030,1530,1544,1706,21,4491,291,622,56,0
7912,322,947,1916,1317,1429,1425,51,4499,207,508,49,0
7913,333,790,1761,1164,1312,1230,85,4425,155,397,35,0
7914,235,551,1597,989,1205,1084,115,4476,103,330,22,0
7915,241,565,1776,1110,1322,1208,122,4864,138,343,27,0
7916,214,532,1636,1074,1301,1255,135,5396,127,350,27,0
7917,174,459,1480,1030,1280,1246,149,5869,114,349,21,0
7918,157,407,1413,986,1256,1240,157,6111,102,345,20,0
7919,170,434,1611,1128,1358,1344,147,6180,143,372,24,0
7920,212,980,2186,1605,1713,1870,122,6342,324,448,67,0
7921,249,966,2203,1527,1655,1758,103,6578,290,524,64,0
7922,231,646,1891,1227,1444,1414,93,6503,176,555,39,0
7923,216,471,1662,1069,1314,1271,83,6304,126,576,27,0
7924,217,528,1674,1164,1368,1350,63,6237,155,651,30,0
7925,203,378,1462,943,1195,1149,65,6132,91,631,21,0
7926,161,235,1273,828,1083,1067,60,5890,64,627,12,0
7927,147,217,1174,771,1055,1030,51,5797,51,654,12,0
7928,111,141,1031,672,973,954,47,5568,33,646,7,0
7929,-200,-200,1082,777,1039,1031,29,5523,53,722,9,1
7930,115,158,991,657,949,948,50,5575,31,635,8,0
7931,80,87,925,601,920,920,39,5367,22,655,4,0
7932,122,194,1017,703,989,988,18,5271,39,745,7,0
7933,186,401,1187,854,1100,1075,18,5198,69,737,14,0
7934,306,887,1638,1288,1411,1472,23,5182,197,709,40,0
7935,301,654,1672,1300,1328,1405,44,5176,201,611,39,0
7936,274,566,1656,1189,1308,1325,77,5267,163,498,31,0
7937,247,649,1641,1127,1280,1277,121,5212,143,369,32,0
7938,169,309,1117,857,1056,1028,150,4821,70,285,15,0
7939,138,229,901,825,1019,994,145,4665,63,283,12,0
7940,149,312,1046,923,1084,1085,129,4707,86,318,19,0
7941,165,276,884,841,998,979,121,4548,66,323,15,0
7942,156,236,821,816,987,959,113,4476,61,335,14,0
7943,184,312,1056,932,1079,1018,114,4373,88,326,19,0
7944,197,345,1139,954,1096,1085,91,4372,94,378,22,0
7945,204,386,1248,1043,1146,1169,81,4458,118,410,30,0
7946,207,356,1200,1025,1125,1147,77,4409,113,419,26,0
7947,208,467,1220,968,1130,1102,71,4433,97,439,28,0
7948,174,287,1032,805,1017,958,63,4408,58,458,16,0
7949,157,239,971,776,1017,946,60,4351,53,461,13,0
7950,166,266,1011,778,1041,947,55,4471,53,490,16,0
7951,167,261,1049,769,1034,952,49,4548,51,520,15,0
7952,154,223,1053,751,1009,939,41,4536,48,547,13,0
7953,-200,-200,1157,828,1105,997,21,4633,64,642,16,1
7954,164,272,1163,859,1084,1017,15,4571,70,662,20,0
7955,149,226,1018,731,989,936,10,4523,44,677,13,0
7956,150,250,1121,792,1047,957,8,4591,56,699,9,0
7957,205,402,1200,868,1091,1021,13,4598,73,672,14,0
7958,283,708,1403,1074,1263,1198,20,4564,127,636,31,0
7959,310,759,1365,1024,1165,1134,41,4345,113,527,41,0
7960,200,302,940,760,966,890,75,4091,49,392,13,0
7961,147,210,750,702,927,847,90,3980,38,345,9,0
7962,128,180,652,678,909,838,92,4025,34,345,10,0
7963,121,165,643,723,941,880,93,3981,42,338,10,0
7964,129,180,629,696,903,850,93,3874,37,331,11,0
7965,110,147,549,668,891,819,97,3716,33,308,8,0
7966,126,177,578,674,904,824,96,3718,34,311,10,0
7967,121,157,582,659,900,807,86,3669,31,328,9,0
7968,142,195,694,725,926,847,72,3567,43,350,9,0
7969,174,263,926,821,999,915,64,3566,62,368,16,0
7970,168,239,915,774,994,917,60,3773,52,402,14,0
7971,180,267,986,801,1010,944,55,3874,58,426,14,0
7972,157,214,840,685,938,870,49,3809,35,437,11,0
7973,162,236,939,760,983,898,42,3605,49,432,12,0
7974,173,251,869,749,963,834,40,3228,47,392,18,0
7975,176,255,908,756,962,843,37,3230,49,401,14,0
7976,172,235,1051,761,980,876,31,3638,50,471,14,0
7977,-200,-200,922,644,914,832,26,3658,29,488,9,1
7978,108,129,871,624,898,825,8,3542,26,538,-2000,1
7979,88,95,793,572,854,788,12,3515,18,519,8,0
7980,85,95,753,531,838,774,10,3489,13,522,7,0
7981,88,100,737,543,831,787,6,3467,15,533,7,0
7982,94,110,722,526,833,771,8,3468,13,528,6,0
7983,115,149,737,582,870,791,3,3424,20,537,8,0
7984,137,197,913,727,984,908,41,3551,43,429,13,0
7985,212,351,1117,844,1065,979,80,3591,67,333,20,0
7986,173,249,774,743,968,840,107,3242,46,252,17,0
7987,135,188,558,683,911,790,111,3105,35,235,12,0
7988,100,127,420,590,868,753,106,3320,21,260,10,0
7989,78,96,363,576,868,755,103,3481,19,277,8,0
7990,100,138,410,633,904,789,102,3516,27,283,10,0
7991,150,217,568,693,944,832,92,3479,37,299,14,0
7992,142,186,570,649,925,819,69,3635,29,364,11,0
7993,165,227,774,736,985,875,60,3584,45,380,16,0
7994,179,252,857,780,1002,892,58,3385,53,364,18,0
7995,149,193,737,692,938,805,58,3286,37,354,14,0
7996,126,158,610,627,896,782,54,3304,26,366,11,0
7997,120,150,627,614,907,782,51,3358,24,379,10,0
7998,110,130,566,613,902,777,48,3300,24,380,11,0
7999,92,104,517,582,885,760,45,3249,20,381,10,0
8000,78,86,484,545,863,749,43,3207,15,381,8,0
8001,-200,-200,482,518,861,738,39,3250,12,399,6,1
8002,65,67,496,482,852,726,38,3327,8,410,6,0
8003,73,75,623,495,879,753,33,3499,10,446,6,0
8004,85,97,696,525,900,780,36,3574,13,445,6,0
8005,133,177,916,615,963,837,34,3713,24,470,8,0
8006,246,433,1309,929,1183,1037,29,3775,87,495,23,0
8007,281,471,1396,996,1161,1067,56,3704,105,405,28,0
8008,222,346,1226,896,1102,969,75,3520,79,338,21,0
8009,182,262,1002,835,1029,897,108,3251,65,252,17,0
8010,154,221,769,797,973,845,129,3045,57,206,14,0
8011,168,265,784,820,981,876,122,3033,62,214,16,0
8012,149,219,643,784,960,868,120,3069,54,219,14,0
8013,156,235,682,761,973,865,122,3392,49,240,13,0
8014,156,227,692,765,968,863,120,3393,50,243,14,0
8015,187,285,926,854,1022,941,105,3525,69,278,17,0
8016,194,291,996,879,1067,989,87,3832,75,339,19,0
8017,204,295,1095,908,1101,1025,78,4004,82,376,23,0
8018,174,243,1058,885,1081,1017,72,4032,77,394,20,0
8019,154,209,893,738,988,906,71,4019,45,396,16,0
8020,117,147,681,630,932,842,71,4001,27,396,10,0
8021,98,117,599,602,923,831,72,4004,23,393,9,0
8022,90,105,550,589,915,813,69,3966,21,396,9,0
8023,74,84,470,534,879,785,70,4006,14,398,9,0
8024,49,51,375,479,852,761,71,4090,8,405,5,0
8025,-200,-200,337,453,844,748,69,4091,6,409,4,1
8026,54,54,451,496,878,782,60,4040,10,429,5,0
8027,69,74,600,524,910,802,64,4126,13,427,6,0
8028,92,114,712,551,918,817,61,4129,16,436,6,0
8029,146,228,931,653,991,885,59,4211,30,451,10,0
8030,224,455,1332,979,1223,1120,60,4367,100,464,21,0
8031,253,493,1520,1153,1277,1268,66,4273,151,437,29,0
8032,225,410,1223,922,1114,1022,87,4074,86,363,22,0
8033,180,277,1122,853,1088,996,105,4246,69,334,16,0
8034,194,340,1099,881,1064,979,114,3748,76,278,18,0
8035,158,238,904,854,1047,959,127,4011,69,274,15,0
8036,184,323,1022,920,1075,992,133,3540,85,233,22,0
8037,165,286,719,777,973,844,139,3271,53,207,16,0
8038,156,271,609,733,942,800,136,3093,44,200,15,0
8039,172,276,-200,-200,-200,-200,-200,-200,-2000,-200,18,1
8040,194,295,-200,-200,-200,-200,-200,-200,-2000,-200,18,1
8041,208,340,-200,-200,-200,-200,-200,-200,-2000,-200,23,1
8042,187,275,-200,-200,-200,-200,-200,-200,-2000,-200,19,1
8043,187,293,-200,-200,-200,-200,-200,-200,-2000,-200,19,1
8044,127,157,-200,-200,-200,-200,-200,-200,-2000,-200,11,1
8045,107,133,-200,-200,-200,-200,-200,-200,-2000,-200,9,1
8046,99,120,-200,-200,-200,-200,-200,-200,-2000,-200,8,1
8047,100,122,-200,-200,-200,-200,-200,-200,-2000,-200,9,1
8048,73,80,-200,-200,-200,-200,-200,-200,-2000,-200,7,1
8049,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,8,1
8050,83,88,-200,-200,-200,-200,-200,-200,-2000,-200,-2000,1
8051,92,109,-200,-200,-200,-200,-200,-200,-2000,-200,7,1
8052,100,120,-200,-200,-200,-200,-200,-200,-2000,-200,6,1
8053,149,233,-200,-200,-200,-200,-200,-200,-2000,-200,10,1
8054,231,394,-200,-200,-200,-200,-200,-200,-2000,-200,17,1
8055,245,424,-200,-200,-200,-200,-200,-200,-2000,-200,27,1
8056,203,446,-200,-200,-200,-200,-200,-200,-2000,-200,33,1
8057,165,266,-200,-200,-200,-200,-200,-200,-2000,-200,21,1
8058,168,261,-200,-200,-200,-200,-200,-200,-2000,-200,20,1
8059,151,220,-200,-200,-200,-200,-200,-200,-2000,-200,20,1
8060,152,241,-200,-200,-200,-200,-200,-200,-2000,-200,23,1
8061,144,208,-200,-200,-200,-200,-200,-200,-2000,-200,20,1
8062,148,215,-200,-200,-200,-200,-200,-200,-2000,-200,21,1
8063,176,257,-200,-200,-200,-200,-200,-200,-2000,-200,23,1
8064,209,355,-200,-200,-200,-200,-200,-200,-2000,-200,31,1
8065,240,415,-200,-200,-200,-200,-200,-200,-2000,-200,39,1
8066,223,349,-200,-200,-200,-200,-200,-200,-2000,-200,38,1
8067,187,254,-200,-200,-200,-200,-200,-200,-2000,-200,29,1
8068,157,228,-200,-200,-200,-200,-200,-200,-2000,-200,22,1
8069,123,156,-200,-200,-200,-200,-200,-200,-2000,-200,19,1
8070,126,161,-200,-200,-200,-200,-200,-200,-2000,-200,20,1
8071,106,123,-200,-200,-200,-200,-200,-200,-2000,-200,18,1
8072,95,108,-200,-200,-200,-200,-200,-200,-2000,-200,16,1
8073,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,15,1
8074,87,95,-200,-200,-200,-200,-200,-200,-2000,-200,14,1
8075,88,102,-200,-200,-200,-200,-200,-200,-2000,-200,15,1
8076,134,178,-200,-200,-200,-200,-200,-200,-2000,-200,17,1
8077,156,214,-200,-200,-200,-200,-200,-200,-2000,-200,19,1
8078,247,492,-200,-200,-200,-200,-200,-200,-2000,-200,33,1
8079,289,540,-200,-200,-200,-200,-200,-200,-2000,-200,38,1
8080,250,604,-200,-200,-200,-200,-200,-200,-2000,-200,43,1
8081,232,646,-200,-200,-200,-200,-200,-200,-2000,-200,37,1
8082,185,418,-200,-200,-200,-200,-200,-200,-2000,-200,27,1
8083,147,250,-200,-200,-200,-200,-200,-200,-2000,-200,22,1
8084,128,226,-200,-200,-200,-200,-200,-200,-2000,-200,24,1
8085,131,271,-200,-200,-200,-200,-200,-200,-2000,-200,22,1
8086,135,288,-200,-200,-200,-200,-200,-200,-2000,-200,23,1
8087,149,299,-200,-200,-200,-200,-200,-200,-2000,-200,26,1
8088,209,534,-200,-200,-200,-200,-200,-200,-2000,-200,42,1
8089,243,687,-200,-200,-200,-200,-200,-200,-2000,-200,62,1
8090,276,1028,-200,-200,-200,-200,-200,-200,-2000,-200,84,1
8091,225,605,-200,-200,-200,-200,-200,-200,-2000,-200,45,1
8092,194,345,-200,-200,-200,-200,-200,-200,-2000,-200,27,1
8093,164,255,-200,-200,-200,-200,-200,-200,-2000,-200,24,1
8094,148,211,-200,-200,-200,-200,-200,-200,-2000,-200,23,1
8095,136,190,-200,-200,-200,-200,-200,-200,-2000,-200,22,1
8096,116,149,-200,-200,-200,-200,-200,-200,-2000,-200,20,1
8097,-200,-200,-200,-200,-200,-200,-200,-200,-2000,-200,16,1
8098,91,107,-200,-200,-200,-200,-200,-200,-2000,-200,16,1
8099,87,98,-200,-200,-200,-200,-200,-200,-2000,-200,15,1
8100,123,183,-200,-200,-200,-200,-200,-200,-2000,-200,17,1
8101,152,224,-200,-200,-200,-200,-200,-200,-2000,-200,18,1
8102,267,589,-200,-200,-200,-200,-200,-200,-2000,-200,38,1
8103,296,700,-200,-200,-200,-200,-200,-200,-2000,-200,59,1
8104,291,747,-200,-200,-200,-200,-200,-200,-2000,-200,54,1
8105,276,746,-200,-200,-200,-200,-200,-200,-2000,-200,47,1
8106,250,702,-200,-200,-200,-200,-200,-200,-2000,-200,43,1
8107,251,723,-200,-200,-200,-200,-200,-200,-2000,-200,54,1
8108,275,872,-200,-200,-200,-200,-200,-200,-2000,-200,58,1
8109,312,1054,-200,-200,-200,-200,-200,-200,-2000,-200,61,1
8110,340,1218,-200,-200,-200,-200,-200,-200,-2000,-200,71,1
8111,326,1227,-200,-200,-200,-200,-200,-200,-2000,-200,66,1
8112,284,1061,-200,-200,-200,-200,-200,-200,-2000,-200,65,1
8113,289,1075,-200,-200,-200,-200,-200,-200,-2000,-200,71,1
8114,215,641,-200,-200,-200,-200,-200,-200,-2000,-200,49,1
8115,207,490,2141,1203,1521,1400,85,5664,168,509,40,0
8116,213,550,2023,1085,1428,1268,83,5843,130,533,40,0
8117,192,422,1967,1069,1463,1279,71,5885,126,581,36,0
8118,211,541,1931,1124,1494,1313,58,5964,142,643,42,0
8119,229,599,1889,1080,1462,1274,53,5979,129,668,43,0
8120,216,490,1699,967,1326,1174,50,5871,97,666,36,0
8121,-200,-200,1467,807,1185,1051,50,5811,59,663,25,1
8122,146,223,1390,788,1154,1065,51,5827,55,659,-2000,1
8123,136,214,1371,839,1175,1087,41,5735,66,690,14,0
8124,156,274,1427,870,1203,1103,46,5778,73,676,14,0
8125,176,338,1489,933,1250,1144,52,5836,88,655,16,0
8126,224,496,1610,1046,1321,1263,60,5929,119,628,23,0
8127,207,433,1619,1049,1323,1290,71,6005,120,593,24,0
8128,221,496,1706,1045,1381,1307,78,6136,119,580,27,0
8129,229,615,1882,1186,1480,1382,90,6271,162,547,34,0
8130,208,551,1911,1229,1485,1450,100,6495,176,531,31,0
8131,207,575,1943,1229,1522,1488,108,6738,176,520,36,0
8132,216,575,2020,1224,1570,1448,110,6746,175,514,38,0
8133,224,574,1999,1170,1507,1392,110,6725,157,514,33,0
8134,225,582,2008,1202,1540,1440,109,6796,167,520,34,0
8135,227,658,2026,1214,1556,1435,111,6869,171,520,37,0
8136,248,851,2225,1378,1707,1637,110,7033,230,536,46,0
8137,251,903,2317,1419,1766,1659,110,7221,246,551,50,0
8138,265,952,2426,1474,1846,1712,114,7471,268,554,57,0
8139,262,894,2355,1382,1795,1609,111,7506,232,569,52,0
8140,241,839,2375,1352,1755,1587,102,7461,220,600,50,0
8141,231,743,2494,1309,1738,1543,101,7379,204,599,45,0
8142,229,671,2411,1239,1712,1488,99,7706,180,632,41,0
8143,221,689,2226,1255,1751,1541,94,8662,185,734,41,0
8144,180,478,1808,1093,1574,1451,94,9203,133,777,31,0
8145,-200,-200,1571,1024,1458,1413,96,9429,113,787,27,1
8146,140,345,1548,1066,1515,1430,89,9277,125,813,28,0
8147,153,373,1541,1031,1491,1387,85,9243,115,829,29,0
8148,150,324,1441,1012,1453,1348,83,9234,109,840,26,0
8149,145,341,1396,1003,1443,1356,81,9221,107,850,26,0
8150,149,424,1411,1047,1473,1420,87,9423,119,837,28,0
8151,155,522,1497,1097,1548,1477,95,9760,134,824,33,0
8152,158,492,1619,1084,1586,1473,110,10220,130,782,32,0
8153,188,492,1590,1023,1488,1456,141,10859,112,679,33,0
8154,154,204,1163,787,1220,1310,163,10422,55,566,15,0
8155,107,142,1001,758,1198,1277,187,10259,49,480,12,0
8156,92,118,822,836,1168,1278,195,8820,65,393,11,0
8157,106,126,773,917,1149,1293,199,7820,84,341,17,0
8158,90,115,588,734,1052,1109,194,7239,44,324,10,0
8159,100,137,610,727,1053,1081,171,6944,43,358,10,0
8160,132,212,1000,1037,1238,1388,155,7103,116,407,26,0
8161,211,354,1048,939,1188,1234,148,7182,90,428,25,0
8162,179,331,1002,891,1150,1198,139,6937,78,438,21,0
8163,116,141,711,694,984,1032,137,6687,37,429,10,0
8164,143,228,1024,777,1111,1137,125,6877,53,478,13,0
8165,142,228,1054,793,1131,1173,118,7366,56,534,15,0
8166,135,203,994,778,1115,1158,109,7312,53,559,14,0
8167,136,215,1031,811,1133,1182,101,7301,60,589,16,0
8168,109,142,884,709,1024,1120,98,7413,40,612,11,0
8169,-200,-200,794,639,968,1080,84,7411,28,671,7,1
8170,62,66,688,567,923,1024,83,7382,18,672,5,0
8171,49,54,617,548,902,1024,77,7280,15,689,4,0
8172,81,121,818,646,995,1053,69,6997,29,700,7,0
8173,104,141,690,597,858,857,90,4297,22,373,7,0
8174,176,388,1291,1030,1233,1257,94,5296,114,449,23,0
8175,193,366,1200,958,1140,1175,103,5666,95,454,25,0
8176,168,254,1127,1036,1096,1043,115,5372,116,396,17,0
8177,123,164,1582,1639,1295,1013,117,5060,339,369,25,0
8178,111,142,700,882,926,913,118,4999,76,362,21,0
8179,120,162,693,857,970,990,120,5402,70,387,11,0
8180,123,177,709,853,960,967,137,4724,69,303,13,0
8181,115,157,671,800,941,917,126,4443,58,306,11,0
8182,120,162,632,771,921,885,130,4085,52,274,11,0
8183,140,209,716,829,940,901,136,3529,64,227,14,0
8184,185,304,1059,1046,1036,1044,118,3171,119,230,23,0
8185,212,484,1329,1221,1102,1136,107,2547,174,199,42,0
8186,200,399,1196,1141,1035,1018,104,2269,147,180,35,0
8187,191,390,1131,978,990,928,97,2488,100,206,30,0
8188,169,287,977,839,950,878,94,2923,66,248,17,0
8189,139,202,963,839,988,936,88,3533,66,312,16,0
8190,102,126,581,658,884,813,87,3521,31,312,10,0
8191,76,87,432,597,840,766,85,3391,22,304,8,0
8192,56,59,352,526,814,740,80,3530,13,329,6,0
8193,-200,-200,348,509,821,762,71,3799,11,374,4,1
8194,30,31,312,440,802,738,69,3901,5,391,-2000,1
8195,28,28,296,437,805,738,69,3966,5,398,3,0
8196,56,64,385,529,850,780,61,3868,13,408,4,0
8197,94,123,586,619,913,834,60,3896,25,415,5,0
8198,196,363,987,844,1047,979,61,3781,67,399,15,0
8199,220,416,1035,899,1055,1017,65,3865,80,395,21,0
8200,168,286,782,778,974,905,94,3855,53,327,16,0
8201,133,198,511,669,863,776,113,3318,33,249,10,0
8202,134,216,566,734,889,801,128,2933,44,198,12,0
8203,138,211,642,790,906,837,123,2740,55,193,13,0
8204,135,199,591,751,874,792,120,2716,48,193,14,0
8205,111,161,461,680,849,741,119,2677,35,192,10,0
8206,124,218,609,761,923,840,121,2906,49,207,14,0
8207,158,252,821,841,962,901,115,2987,66,221,15,0
8208,181,337,1163,1059,1067,1085,104,2905,123,231,24,0
8209,185,357,1405,1121,1125,1132,95,2996,141,252,28,0
8210,187,410,1405,1124,1149,1141,89,3069,142,269,31,0
8211,196,445,1429,1034,1155,1061,82,3270,116,301,31,0
8212,174,314,1284,908,1065,953,74,3287,82,318,20,0
8213,182,366,1409,946,1145,1015,66,3664,92,375,21,0
8214,182,336,1376,912,1134,999,63,3842,83,401,19,0
8215,193,387,1421,1004,1195,1078,52,3943,107,442,25,0
8216,174,320,1356,898,1141,1014,44,4017,80,475,20,0
8217,-200,-200,1296,806,1077,949,40,4019,59,491,14,1
8218,142,237,1202,740,1052,913,33,4074,45,522,11,0
8219,137,224,1206,701,1033,883,32,4071,38,524,8,0
8220,140,237,1305,768,1080,924,36,4123,51,517,9,0
8221,201,454,1485,931,1208,1052,35,4297,88,542,16,0
8222,288,854,1643,1183,1363,1273,52,4304,161,483,36,0
8223,260,758,1459,1096,1239,1211,78,3994,134,376,33,0
8224,206,428,1152,940,1044,1014,89,3850,90,338,21,0
8225,98,205,885,761,956,887,91,3827,50,330,13,0
8226,138,205,770,725,955,880,91,3994,43,345,11,0
8227,139,226,852,825,997,948,96,3763,63,313,15,0
8228,137,199,830,810,987,939,85,4026,60,363,15,0
8229,155,253,867,798,1007,942,93,4050,57,346,16,0
8230,155,259,881,795,1025,967,89,4318,56,379,15,0
8231,148,252,975,856,1083,1010,82,4563,70,418,16,0
8232,153,313,1136,960,1143,1110,74,4582,95,445,22,0
8233,171,433,1434,1178,1288,1300,70,4366,159,434,34,0
8234,227,611,1746,1421,1464,1542,66,4241,247,434,56,0
8235,251,626,1592,1204,1341,1294,59,4137,168,443,52,0
8236,216,408,1341,1004,1177,1111,50,4099,107,466,28,0
8237,200,357,1208,913,1089,1016,58,3740,83,403,24,0
8238,192,375,1334,1014,1196,1101,54,3945,110,438,27,0
8239,187,326,1208,874,1107,984,57,3883,74,421,26,0
8240,173,326,1196,897,1102,1024,57,3885,79,421,23,0
8241,-200,-200,931,688,993,874,58,3990,36,429,10,1
8242,64,72,656,559,912,837,57,4298,17,466,6,0
8243,46,49,478,496,883,804,69,4499,10,450,5,0
8244,51,59,489,507,893,794,69,4224,11,422,5,0
8245,115,220,893,711,1033,935,64,4230,40,438,10,0
8246,238,602,1322,966,1222,1134,66,4383,97,446,26,0
8247,202,485,1280,1000,1190,1152,77,4440,106,421,27,0
8248,167,295,943,783,1035,969,101,4536,54,367,18,0
8249,139,217,772,705,990,913,90,4775,39,414,12,0
8250,147,236,826,732,1011,944,87,4787,44,425,13,0
8251,130,196,808,763,1041,1003,83,5238,50,478,14,0
8252,143,233,901,850,1086,1072,89,5208,68,455,18,0
8253,143,207,763,755,1021,980,89,5256,48,461,13,0
8254,136,198,722,761,1014,972,90,5173,50,449,14,0
8255,143,212,735,771,1023,982,93,4974,52,423,14,0
8256,177,280,1047,977,1172,1160,84,4977,100,452,24,0
8257,198,315,1163,1017,1172,1185,76,5013,111,478,28,0
8258,200,378,1244,1081,1219,1246,74,4871,129,472,33,0
8259,191,320,1025,891,1106,1058,74,4854,78,469,25,0
8260,169,265,982,824,1078,1016,69,4832,63,482,21,0
8261,106,129,607,637,939,883,71,4867,28,479,12,0
8262,105,129,616,670,975,910,69,4874,33,487,12,0
8263,130,172,654,660,958,905,68,4792,31,482,13,0
8264,82,100,479,594,921,867,63,4787,21,496,10,0
8265,-200,-200,487,580,931,863,56,4855,19,529,8,1
8266,45,49,382,472,874,803,64,4814,7,498,-2000,1
8267,35,36,350,476,872,794,69,4796,8,481,4,0
8268,60,79,438,530,904,846,64,4850,13,502,5,0
8269,90,128,578,568,951,888,64,4886,18,507,7,0
8270,205,456,1140,896,1183,1115,69,4903,79,488,21,0
8271,199,477,1203,970,1187,1174,84,4922,98,446,25,0
8272,153,342,1000,874,1072,1033,108,4794,74,371,20,0
8273,163,254,806,780,1011,964,112,4818,53,362,14,0
8274,152,231,724,752,997,952,118,4758,48,344,13,0
8275,146,213,690,791,989,953,115,4479,56,331,14,0
8276,146,208,757,837,1006,971,109,4260,66,326,16,0
8277,134,270,818,845,1016,987,113,4249,67,317,17,0
8278,164,276,936,918,1069,1045,116,4223,84,309,18,0
8279,141,375,1133,989,1109,1096,111,4243,103,322,24,0
8280,204,395,1298,1071,1182,1187,97,4333,126,360,28,0
8281,210,421,1387,1179,1253,1268,85,4336,160,390,33,0
8282,250,632,1502,1228,1288,1333,83,4411,176,403,48,0
8283,202,424,1273,981,1153,1097,80,4448,101,413,28,0
8284,190,369,1271,969,1161,1111,70,4446,98,442,24,0
8285,236,484,1464,1031,1271,1138,54,4698,115,518,29,0
8286,250,456,1384,909,1156,1023,41,4558,82,550,27,0
8287,219,373,1281,850,1106,997,31,4462,68,578,21,0
8288,156,228,1083,726,1008,913,31,4388,43,567,15,0
